,O,Location,Person,MilitaryPlatform,Organisation,Weapon,Temporal,Money
-DOCSTART-,1.0,,,,,,,
has,178.0,,,,,,,
been,121.0,,,,,,,
widening,3.0,,,,,,,
the,1838.0,168.0,35.0,23.0,216.0,16.0,7.0,1.0
breach,7.0,,,,,,,
in,795.0,20.0,1.0,,1.0,,8.0,
's,79.0,96.0,22.0,8.0,45.0,,2.0,
defences,9.0,,,2.0,,,,
southern,3.0,8.0,,,,,,
region,32.0,16.0,,1.0,,,,
as,219.0,,,,1.0,1.0,,
its,98.0,,,,,,,
counter-offensive,11.0,,,1.0,,,,
continues,7.0,,,,,,,
to,1198.0,2.0,1.0,,1.0,1.0,3.0,
make,22.0,,,,,,,
slow,9.0,,,,,,,
progress,11.0,,,,,,,
against,29.0,,,,,,,
forces,1.0,,,43.0,73.0,,,
.,733.0,3.0,,,4.0,,,
Here,3.0,,,,,,,
are,182.0,,,,,,,
latest,11.0,,,,,,,
developments,1.0,,,,,,,
:,122.0,,,,,,,
brought,4.0,,,,,,,
heavy,3.0,,,,,,,
equipment,18.0,,,,1.0,1.0,,
beyond,6.0,,,,,,,
first,62.0,,,,1.0,,,
line,24.0,,,,,,,
of,1057.0,94.0,19.0,1.0,48.0,4.0,4.0,2.0
for,316.0,2.0,2.0,,4.0,,1.0,
time,58.0,,,,,,2.0,
",",2098.0,44.0,18.0,2.0,17.0,1.0,18.0,
analysts,3.0,,1.0,,,,,
sayIt,1.0,,,,,,,
also,101.0,,,,,,,
made,22.0,,,,,,,
advances,6.0,,,,,,,
around,23.0,,,,,,,1.0
after,27.0,,,,,,1.0,
moved,6.0,,,,,,,
some,34.0,,,,,,,
most,31.0,,,,,,,
experienced,2.0,,,,,,,
from,217.0,,,,,,1.0,
city,14.0,14.0,,,,,,
Meanwhile,4.0,,,,,,,
maintained,3.0,,,,,,,
attacks,21.0,,,,,1.0,,
on,314.0,1.0,,,,,7.0,
ports,4.0,5.0,,,,,,
damaging,1.0,,,,,,,
country,19.0,,,,,,,
grain,14.0,,,,,,,
export,4.0,,,,,,,
infrastructure,6.0,,,,,,,1.0
armoured,1.0,,,4.0,,1.0,,
vehicles,2.0,,,4.0,,,,
advance,9.0,,,,,,,
Ukrainian,64.0,4.0,9.0,6.0,38.0,,,
have,203.0,,,,,,,
their,106.0,,,,,,,
Russian,53.0,1.0,5.0,12.0,21.0,2.0,,
defensive,6.0,,,1.0,,,,
lines,19.0,1.0,,,,,,
near,19.0,3.0,,,,,,
village,9.0,16.0,,,,,,
several,8.0,,,,,,,
weeks,12.0,,,,,,1.0,
