,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223
drones,MilitaryPlatform,4354,Weapon,4355.0,MilitaryPlatform,4403.0,MilitaryPlatform,4421.0,MilitaryPlatform,4422.0,MilitaryPlatform,4423.0,MilitaryPlatform,4424.0,MilitaryPlatform,4491.0,MilitaryPlatform,4492.0,MilitaryPlatform,4493.0,MilitaryPlatform,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukrainian forces,MilitaryPlatform,4335,MilitaryPlatform,4337.0,MilitaryPlatform,4340.0,Organisation,4359.0,Organisation,4387.0,Organisation,4394.0,Organisation,4409.0,Organisation,4438.0,Organisation,4439.0,Organisation,4462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian troops,MilitaryPlatform,4358,Organisation,4362.0,MilitaryPlatform,4486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian minefields,Location,4364,MilitaryPlatform,4384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Location,4334,Location,4335.0,Location,4337.0,Location,4340.0,Location,4341.0,Location,4343.0,Location,4344.0,Location,4347.0,Location,4348.0,Location,4349.0,Location,4351.0,Location,4355.0,Location,4356.0,Location,4361.0,Location,4362.0,Location,4363.0,Location,4364.0,Location,4366.0,Location,4368.0,Location,4369.0,Location,4382.0,Location,4388.0,Location,4391.0,Location,4395.0,Person,4396.0,Location,4410.0,Location,4412.0,Location,4414.0,Location,4415.0,Location,4429.0,Location,4432.0,Location,4433.0,Location,4434.0,Location,4436.0,Location,4458.0,Location,4465.0,Location,4466.0,Location,4467.0,Location,4468.0,Location,4469.0,Location,4470.0,Location,4471.0,Location,4474.0,Location,4477.0,Location,4478.0,Location,4497.0,Location,4498.0,Location,4502.0,Location,4624.0,Location,4625.0,Location,4626.0,Location,4630.0,Location,4633.0,Location,4634.0,Location,4635.0,Location,4649.0,Location,4703.0,Location,4705.0,Location,4706.0,Location,4707.0,Location,411.0,Location,413.0,Location,425.0,Location,430.0,Location,431.0,Location,436.0,Location,447.0,Location,448.0,Location,449.0,Location,453.0,Location,458.0,Location,460.0,Location,467.0,Location,487.0,Location,489.0,Location,492.0,Location,494.0,Location,498.0,Location,510.0,Location,513.0,Location,514.0,Location,517.0,Location,520.0,Location,521.0,Location,523.0,Location,524.0,Location,525.0,Location,526.0,Nationality,549.0,Nationality,554.0,Location,565.0,Location,592.0,Location,593.0,Location,758.0,Location,776.0,Location,781.0,Location,785.0,Location,786.0,Location,789.0,Location,791.0,Location,795.0,Location,801.0,Location,803.0,Location,851.0,Location,852.0,Location,853.0,Location,855.0,Location,856.0,Location,858.0,Location,859.0,Location,860.0,Location,861.0
Ukrainian troops,Organisation,4392,MilitaryPlatform,4411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian forces,Organisation,4357,Organisation,4374.0,Organisation,4388.0,Organisation,4409.0,MilitaryPlatform,4420.0,Organisation,4458.0,Organisation,4650.0,Organisation,4665.0,Organisation,409.0,Organisation,557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine's,Location,4335,Location,4336.0,Location,4352.0,Location,4355.0,Location,4400.0,Location,4406.0,Location,4408.0,Location,4430.0,Person,4431.0,Location,4438.0,Location,4447.0,Location,4463.0,Location,4465.0,Location,4467.0,Location,4470.0,Location,4472.0,Location,4480.0,Location,4485.0,Location,406.0,Location,447.0,Location,461.0,Location,470.0,Location,485.0,Location,486.0,Location,491.0,Location,498.0,Location,526.0,Location,800.0,Location,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forces,MilitaryPlatform,4337,Organisation,4442.0,MilitaryPlatform,4443.0,MilitaryPlatform,4457.0,MilitaryPlatform,4536.0,MilitaryPlatform,405.0,MilitaryPlatform,410.0,MilitaryPlatform,411.0,MilitaryPlatform,430.0,MilitaryPlatform,142.0,MilitaryPlatform,158.0,MilitaryPlatform,188.0,MilitaryPlatform,201.0,MilitaryPlatform,203.0,MilitaryPlatform,231.0,MilitaryPlatform,233.0,MilitaryPlatform,266.0,MilitaryPlatform,564.0,MilitaryPlatform,567.0,MilitaryPlatform,699.0,MilitaryPlatform,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow,Location,4345,Location,4350.0,Location,4397.0,Location,4433.0,Person,4451.0,Organisation,4617.0,Organisation,4632.0,Location,4651.0,Organisation,405.0,Organisation,409.0,Organisation,437.0,Organisation,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
