,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
squadron,Quantity,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,Location,1963,2344.0,2825.0,4184.0,10852.0,11783.0,17702.0,18552.0,18613.0,18629.0,18957.0,20281.0,20305.0,21653.0,22242.0,22418.0,22636.0,22713.0,22782.0,23062.0,23345.0,23370.0,28153.0,28215.0,28592.0,28779.0,28839.0,28918.0,37240.0,43638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partners,Organisation,891,1083.0,2308.0,2445.0,3653.0,3907.0,6396.0,9680.0,11182.0,15543.0,18954.0,21528.0,22414.0,22703.0,23205.0,23386.0,23409.0,26449.0,27138.0,27245.0,27362.0,27608.0,28094.0,28258.0,28317.0,28351.0,29834.0,30249.0,30756.0,41077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-10,MilitaryPlatform,29303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S.,Organisation,2770,3542.0,3630.0,20012.0,20947.0,27551.0,28195.0,28716.0,28797.0,28925.0,30181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,Organisation,1949,2013.0,2356.0,2449.0,2840.0,3759.0,3763.0,3909.0,4729.0,5164.0,6902.0,10017.0,11399.0,11455.0,11496.0,11848.0,11971.0,13055.0,13455.0,13527.0,13546.0,15006.0,15069.0,15119.0,15524.0,15696.0,15989.0,16064.0,16066.0,16088.0,16243.0,16318.0,16320.0,16342.0,16449.0,16643.0,16669.0,16716.0,16833.0,17659.0,17691.0,17767.0,17818.0,18090.0,18098.0,18112.0,18286.0,18312.0,18468.0,18506.0,18520.0,18539.0,18639.0,18664.0,18689.0,18979.0,19001.0,19129.0,19132.0,19314.0,19434.0,19440.0,19531.0,19539.0,19548.0,19808.0,19882.0,19927.0,19944.0,19948.0,20138.0,20141.0,20206.0,20292.0,20318.0,20340.0,20346.0,20494.0,20544.0,20550.0,20831.0,20851.0,20876.0,20880.0,20906.0,21086.0,21325.0,21331.0,21358.0,21459.0,21480.0,21519.0,21638.0,21664.0,21745.0,22568.0,22595.0,22898.0,23596.0,23635.0,23976.0,23991.0,24006.0,24231.0,25093.0,25544.0,25562.0,25854.0,25939.0,26358.0,26915.0,27507.0,28380.0,29358.0,29445.0,29780.0,29797.0,30541.0,30816.0,30835.0,30865.0,31074.0,32846.0,32853.0,32880.0,32909.0,33014.0,33350.0,33458.0,33461.0,34516.0,34578.0,34585.0,35761.0,35924.0,36128.0,36134.0,36168.0,36774.0,38042.0,38074.0,38288.0,38714.0,38717.0,39284.0,39294.0,39592.0,41252.0,41560.0,42023.0,42059.0,42306.0,42621.0,43165.0,43231.0,43313.0,43760.0,44234.0,44267.0,44828.0,45114.0,45572.0,45734.0,45849.0
NAVCENT,Location,24805,27076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFCENT,Organisation,24803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two,Quantity,529,6557.0,20081.0,33347.0,33495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
two,Quantity,591,4572.0,8824.0,8857.0,8864.0,9839.0,16889.0,17680.0,18425.0,19239.0,19533.0,19603.0,19811.0,21128.0,21264.0,21822.0,23768.0,25110.0,26744.0,27394.0,28044.0,30107.0,30468.0,30495.0,30732.0,31391.0,31621.0,31792.0,31884.0,32117.0,32518.0,32595.0,33693.0,38258.0,41357.0,42884.0,43521.0,43891.0,44198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three,Quantity,398,603.0,717.0,2174.0,2976.0,4959.0,5013.0,5031.0,10698.0,11175.0,11725.0,12975.0,13404.0,14567.0,14839.0,15345.0,15514.0,15723.0,15750.0,19798.0,27216.0,27660.0,31289.0,32402.0,33117.0,33135.0,39382.0,40067.0,44343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Location,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
