,Correct,Incorrect,Count,Label
Ukraine,100.0,0.0,142,Location
been,100.0,0.0,121,O
widening,100.0,0.0,2,O
the,100.0,0.0,1830,O
breach,100.0,0.0,7,O
in,100.0,0.0,697,O
Russia 's,100.0,0.0,26,Location
the southern Zaporizhzhia region,100.0,0.0,1,Location
its,100.0,0.0,98,O
counter-offensive,100.0,0.0,9,O
continues,100.0,0.0,5,O
to,100.0,0.0,1111,O
make,100.0,0.0,21,O
slow,100.0,0.0,9,O
progress,100.0,0.0,11,O
against,100.0,0.0,25,O
Moscow 's forces,100.0,0.0,1,Organisation
Here,100.0,0.0,3,O
are,100.0,0.0,159,O
latest,100.0,0.0,11,O
developments,100.0,0.0,1,O
:,100.0,0.0,82,O
brought,100.0,0.0,2,O
heavy,100.0,0.0,3,O
equipment,100.0,0.0,18,O
beyond,100.0,0.0,5,O
line,100.0,0.0,24,O
of,100.0,0.0,1032,O
defences,100.0,0.0,7,O
the Zaporizhzhia region,100.0,0.0,2,Location
first,100.0,0.0,50,O
time,100.0,0.0,58,O
",",100.0,0.0,1376,O
analysts,100.0,0.0,3,O
sayIt,100.0,0.0,1,O
has,100.0,0.0,91,O
also,100.0,0.0,82,O
made,100.0,0.0,18,O
advances,100.0,0.0,5,O
around,100.0,0.0,22,O
Bakhmut,100.0,0.0,4,Location
Russia,100.0,0.0,60,Location
some,100.0,0.0,34,O
most,100.0,0.0,29,O
experienced,100.0,0.0,2,O
troops,100.0,0.0,10,MilitaryPlatform
the city to the Zaporizhzhia region,100.0,0.0,1,Location
maintained,100.0,0.0,3,O
drone,100.0,0.0,13,MilitaryPlatform
on,100.0,0.0,277,O
Ukraine 's River Danube ports,100.0,0.0,1,Location
damaging,100.0,0.0,1,O
country,100.0,0.0,19,O
's,100.0,0.0,79,O
grain,100.0,0.0,12,O
export,100.0,0.0,4,O
infrastructure,100.0,0.0,6,O
Ukraine 's armoured vehicles,100.0,0.0,1,MilitaryPlatform
Ukrainian forces,100.0,0.0,10,Organisation
their,100.0,0.0,106,O
Russian,100.0,0.0,53,O
defensive,100.0,0.0,5,O
lines,100.0,0.0,19,O
near,100.0,0.0,15,O
the village of Robotyne,100.0,0.0,2,Location
several,100.0,0.0,8,O
weeks,100.0,0.0,12,O
and,100.0,0.0,902,O
say,100.0,0.0,21,O
they,100.0,0.0,73,O
may,100.0,0.0,20,O
be,100.0,0.0,143,O
preparing,100.0,0.0,4,O
for,100.0,0.0,290,O
a,100.0,0.0,702,O
new,100.0,0.0,51,O
push,100.0,0.0,4,O
.,100.0,0.0,510,O
The tiny village,100.0,0.0,1,Location
56km,100.0,0.0,2,O
(,100.0,0.0,48,O
35,100.0,0.0,5,O
miles,100.0,0.0,15,O
),100.0,0.0,60,O
south-east of the city of Zaporizhzhia,100.0,0.0,2,Location
focal,100.0,0.0,1,O
point,100.0,0.0,8,O
since,100.0,0.0,32,O
Ukraine 's,100.0,0.0,28,Location
began,100.0,0.0,8,O
at,100.0,0.0,141,O
start,100.0,0.0,17,O
Progress,100.0,0.0,1,O
but,100.0,0.0,77,O
the US-based Institute for the Study of War ( ISW ),100.0,0.0,1,Organisation
have,100.0,0.0,173,O
confirmed,100.0,0.0,2,O
that,100.0,0.0,384,O
operating,100.0,0.0,12,O
armoured vehicles,100.0,0.0,3,MilitaryPlatform
Russian anti-tank,100.0,0.0,1,MilitaryPlatform
dragon,100.0,0.0,3,O
teeth,100.0,0.0,3,O
obstacles,100.0,0.0,5,O
area,100.0,0.0,21,O
-,100.0,0.0,44,O
just,100.0,0.0,39,O
west,100.0,0.0,2,O
nearby,100.0,0.0,6,O
Verbove.,100.0,0.0,1,Location
maps,100.0,0.0,3,O
The ISW,100.0,0.0,1,Organisation
this,100.0,0.0,157,O
as,100.0,0.0,189,O
an,100.0,0.0,115,O
"""",100.0,0.0,327,O
important,100.0,0.0,28,O
sign,100.0,0.0,4,O
adds,100.0,0.0,5,O
it,100.0,0.0,194,O
is,100.0,0.0,264,O
not,100.0,0.0,98,O
prepared,100.0,0.0,2,O
broken,100.0,0.0,5,O
through,100.0,0.0,50,O
forces,95.23809523809523,4.761904761904762,21,MilitaryPlatform
breached,100.0,0.0,2,O
last,100.0,0.0,26,O
visible,100.0,0.0,2,O
positions,100.0,0.0,5,O
BBC,100.0,0.0,6,Organisation
correspondent,100.0,0.0,1,O
Frank Gardner,100.0,0.0,1,Person
strategically,100.0,0.0,4,O
part,100.0,0.0,27,O
Ukrainian,100.0,0.0,64,O
if,100.0,0.0,33,O
successful,100.0,0.0,10,O
could,100.0,0.0,18,O
cut,100.0,0.0,4,O
off,100.0,0.0,12,O
connect,100.0,0.0,2,O
city,100.0,0.0,14,O
Rostov-on-Don,100.0,0.0,2,Location
Crimea,100.0,0.0,9,Location
Doing,100.0,0.0,2,O
so,100.0,0.0,49,O
would,100.0,0.0,46,O
all,100.0,0.0,65,O
impossible,100.0,0.0,6,O
maintain,100.0,0.0,9,O
huge,100.0,0.0,5,O
garrison,100.0,0.0,2,MilitaryPlatform
which,100.0,0.0,88,O
annexed,100.0,0.0,2,O
2014,100.0,0.0,6,Temporal
he,100.0,0.0,108,O
Has,100.0,0.0,1,O
?,100.0,0.0,52,O
However,100.0,0.0,7,O
advance,100.0,0.0,8,O
far,100.0,0.0,19,O
restricted,100.0,0.0,2,O
Robotyne,100.0,0.0,6,Location
long,100.0,0.0,22,O
way,100.0,0.0,27,O
go,100.0,0.0,14,O
achieve,100.0,0.0,5,O
aim,100.0,0.0,5,O
by,100.0,0.0,147,O
reaching,100.0,0.0,2,O
the Sea of Azov,100.0,0.0,2,Location
The,100.0,0.0,142,O
battle,100.0,0.0,4,O
trying,100.0,0.0,14,O
widen,100.0,0.0,3,O
bringing,100.0,0.0,2,O
reinforcements,100.0,0.0,2,O
